species	sp	duration	grass	legume	herb	func_grp	indicator	nat_exo	status	rare
"Cymbonotus lawsonianus"	Cym_law	Annual	0	0	1	Herb	C	N	NA	NA
"Cymbopogon refractus"	Cym_ref	Perennial	1	0	0	C4	2	N	NA	NA
"Cynodon dactylon"	Cyn_dac	Perennial	1	0	0	C4	C	E	NA	NA
"Cynoglossum suaveolens"	Cyn_sua	Perennial	0	0	1	Herb	C	N	NA	NA
"Cynosurus echinatus"	Cyn_ech	Annual	1	0	0	C3	NA	E	NA	NA
"Cyperus eragrostis"	Cyp_era	Perennial	0	0	1	Herb	NA	E	NA	NA
"Cyperus spp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Dactylis glomerata"	Dac_glo	Perennial	1	0	0	C3	NA	E	NA	NA
"Daucus glochidiatus"	Dau_glo	Annual	0	0	1	Herb	C	N	I	NA
"Desmodium varians"	Des_var	Perennial	0	1	1	Legume	2	N	I	NA
"Dianella longifolia"	Dia_lon	Perennial	0	0	1	Herb	2	N	I	R
"Dianella revoluta"	Dia_rev	Perennial	0	0	1	Herb	2	N	I	NA
"Dichelachne crinita"	Dic_cri	Perennial	1	0	0	C3	C	N	NA	NA
"Dichelachne micrantha"	Dic_mic	Perennial	1	0	0	C3	C	N	NA	NA
"Dichelachne sp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Dichondra repens"	Dic_rep	Perennial	0	0	1	Herb	C	N	NA	NA
"Dillwynia sericea"	Dil_ser	Perennial	0	1	0	Leguminous_shrub	2	N	I	NA
"Dodonaea viscosa"	Dod_vis	Perennial	0	0	0	Woody_shrub	2	N	NA	NA
"Drosera auriculata"	Dro_aur	Perennial	0	0	1	Herb	NA	N	NA	NA
"Drosera peltata"	Dro_pel	Perennial	0	0	1	Herb	C	N	NA	NA
"Dysphania pumilio"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Echinopogon caespitosum"	Ech_cae	Perennial	1	0	0	C3	C	N	NA	NA
"Echium plantagineum"	Ech_pla	Annual	0	0	1	Herb	NA	E	NA	NA
"Echium vulgare"	Ech_vul	Annual	0	0	1	Herb	NA	E	NA	NA
