Species	Sp	Duration	Grass	Legume	Herb	func_grp	Significance	Status	Indicator	rare			
"""Conyza sp."""	Con_sp.	Annual	0	0	1	Herb	Y	E	NA	NA			
"""Cotula australis"""	Cot_aus	Annual	0	0	1	Herb	C	N	NA	NA			
"""Craspedia variabilis"""	Cra_var	Perennial	0	0	1	Herb	A	N	1	NA			
"""Crassula sieberana"""	Cra_sie	Perennial	0	0	1	Herb	C	N	NA	NA			
"""Cryptandra amara"""	Cry_ama	Perennial	0	0	0	Woody_shrub	A	N	1	NA			
"""Cryptandra speciosa"""	Cry_spe	Perennial	0	0	0	Woody_shrub	A	N	1	NA			
"""Cymbonotus lawsonianus"""	Cym_law	Annual	0	0	1	Herb	B	N	1	NA			
"""Cymbopogon refractus"""	Cym_ref	Perennial	1	0	0	C4	A	N	1	NA			
"""Cynodon dactylon"""	Cyn_dac	Perennial	1	0	0	C4	X	E	NA	NA			
"""Cynoglossum suaveolens"""	Cyn_sua	Perennial	0	0	1	Herb	B	N	1	NA			
"""Cynosurus echinatus"""	Cyn_ech	Annual	1	0	0	C3	Z	E	NA	NA			
"""Cyperus eragrostis"""	Cyp_era	Perennial	0	0	1	Herb	Y	E	NA	NA			
"""Cyperus sp."""	Cyp_sp.	Perennial	0	0	1	Herb	C	E	NA	NA			
"""Dactylis glomerata"""	Dac_glo	Perennial	1	0	0	C3	Y	E	NA	NA			
"""Daucus glochidiatus"""	Dau_glo	Annual	0	0	1	Herb	C	N	NA	NA			
"""Desmodium varians"""	Des_var	Perennial	0	1	1	Legume	A	N	1	NA			
"""Dianella longifolia"""	Dia_lon	Perennial	0	0	1	Herb	A	N	1	R			
"""Dianella revoluta"""	Dia_rev	Perennial	0	0	1	Herb	A	N	1	NA			
"""Dichelachne crinita"""	Dic_cri	Perennial	1	0	0	C3	C	N	NA	NA			
"""Dichelachne micrantha"""	Dic_mic	Perennial	1	0	0	C3	C	N	NA	NA			
"""Dichelachne sp """	Dic_sp	Perennial	1	0	0	C3	C	N	NA	NA			
"""Dichondra repens"""	Dic_rep	Perennial	0	0	1	Herb	B	N	1	NA			
"""Dillwynia sericea"""	Dil_ser	Perennial	0	1	0	Leguminous_shrub	A	N	1	NA			
