Date	Surveyors	Reserve	Plot	Subplot	Type	Aca_ovi	Ace_vul	Air_sp.	Ant_sca	Arc_cal	Ari_ram	Asp_con	Aus_big	Aus_sca	Aus_sp.	Ave_sp.	Bot_mac	Bri_min	Bro_dia	Bro_hor	Bul_bul	Car_bre	Car_inv	Car_lan	Cen_ery	Cer_glo	Cha_dru	Chr_api	Chr_sem	Con_ang	Con_sp.	Cra_sie	Cym_law	Dau_glo	Des_var	Dro_pel	Epi_bil	Epi_spE	Epi_spN	Era_bro	Ero_bra	Ero_cri	Ero_mos	Ery_ovi	Euc_inv	Euc_sp.	Gal_apa	Gal_div	Gam_ame	Gam_sp.	Gly_cla	Gly_tab	Goo_pin	Hal_het	Hol_lan	Hyd_lax	Hyp_gra	Hyp_per	Hyp_gla	Hyp_rad	Jun_aus	Jun_buf	Jun_foc	Jun_sp.	Lac_ser	Lat_sal	Lep_squ	Lol_per	Lom_cor	Lom_lon	Lom_mul	Lyt_hys	Med_sp.	Mic_sti	Moe_ere	Nas_nee	Nas_tri	Ono_aca	Oxa_per	Pan_eff	Par_bra	Pas_dil	Per_exo	Pet_nan	Pha_aqu	Pla_gau	Pla_lan	Pla_var	Poa_sie	Rum_bro	Rum_dum	Ryt_car	Ryt_pal	Ryt_pil	Ryt_rac	Ryt_sp1	Ryt_sp2	Ryt_sp3	Sch_apo	Seb_ova	Sen_sp.	Sol_dom	Sol_ses	Son_asp	Son_sp.	Tar_sec	The_tri	Tra_por	Tra_sp.	Tri_ela	Tri_arv	Tri_cam	Tri_glo	Tri_sp.	Tri_ste	Tri_sub	Tri_pyg	Ver_tha	Vit_cun	Vit_mue	Vul_sp.	Wah_com	Wah_gta	Wah_gis	Wah_lut	Wah_sp.	Wur_dio
29/9/15	RB	Kama	K1S	a	Count	0	26	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	15	0	38	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	15	0	5	0	0	0	0	4	0	0	0	0	0	0
29/9/15	RB	Kama	K1S	b	Count	0	8	40	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	6	0	5	0	0	0	0	4	0	0	0	0	0	0
29/9/15	RB	Kama	K1S	c	Count	0	3	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	10	72	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	19	0	0	0	0	0	0	12	0	14	0	0	0	0	0	0	0	0	0	0	1
29/9/15	RLB	Kama	K1S	d	Count	1	1	400	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	29	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	8	0	0	0	0	0	0	36	0	43	0	0	0	0	0	0	0	0	0	0	0
29/9/15	RLB	Kama	K1C	a	Count	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29/9/15	RLB	Kama	K1C	b	Count	4	4	18	0	0	0	0	0	1	0	85	0	0	0	0	0	0	2	0	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
29/9/15	RLB	Kama	K1C	c	Count	3	0	0	0	0	0	0	0	7	0	25	0	0	0	0	0	0	0	0	2	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29/9/15	RLB	Kama	K1C	d	Count	0	1	0	0	0	0	0	0	5	0	18	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29/9/15	RLB	Kama	K2S	a	Count	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	15	0	0	0	0	33	0	0	0	0	0	0
29/9/15	RLB	Kama	K2S	b	Count	0	0	0	0	0	0	0	0	12	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	23	0	0	0	0	22	0	0	0	0	0	0
29/9/15	RLB	Kama	K2S	c	Count	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	16	0	0	0	0	47	0	0	0	0	0	0
29/9/15	RLB	Kama	K2S	d	Count	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	36	0	0	0	0	103	0	0	0	0	0	0
