Species	Sp	Duration	Grass	Legume	Herb	func_grp	Significance	Status	Indicator	rare
"Goodenia pinnatifida"	Goo_pin	Perennial	0	0	1	Herb	A	N	1	NA
"Haloragis heterophylla"	Hal_het	Perennial	0	0	1	Herb	A	N	1	NA
"Hordeum sp. (Critesion)"	Hor_sp.	Annual	1	0	0	C3	Z	E	NA	NA
"Hypericum gramineum"	Hyp_gra	Perennial	0	0	1	Herb	A	N	1	NA
"Hypericum perforatum"	Hyp_per	Perennial	0	0	1	Herb	Y	E	NA	NA
"Hypochaeris glabra"	Hyp_gla	Annual	0	0	1	Herb	Z	E	NA	NA
"Hypochaeris radicata"	Hyp_rad	Perennial	0	0	1	Herb	Y	E	NA	NA
"Juncus sp. (native)"	Jun_sp.	Perennial	0	0	0	Sedge_Rush	C	N	NA	NA
"Juncus subsecundus"	Jun_sub	Perennial	0	0	0	Sedge_Rush	C	N	NA	NA
"Leptorhynchos squamatus"	Lep_squ	Perennial	0	0	1	Herb	A	N	1	NA
"Linaria pelisserana"	Lin_pel	Annual	0	0	1	Herb	Z	E	NA	NA
"Linaria sp. (arvensis?)"	Lina_sp	Annual	0	0	1	Herb	Z	E	NA	NA
"Linum trigynum"	Lin_tri	Perennial	NA	NA	NA	NA	Z	E	NA	NA
"Lomandra coriacea filiformis"	Lom_cor	Perennial	0	0	1	Herb	A	N	1	NA
"Lomandra bracteata"	Lom_bra	Perennial	0	0	1	Herb	A	N	1	NA
"Lomandra filiformis"	Lom_fil	Perennial	0	0	1	Herb	A	N	1	NA
"Lomandra multiflora"	Lom_mul	Perennial	0	0	1	Herb	A	N	1	NA
"Lythrum hyssopifolia"	Lyt_hys	Annual	0	0	1	Herb	C	N	NA	NA
"Microlaena stipoides"	Mic_sti	Perennial	1	0	0	C3	C	N	NA	NA
"Microtis sp"	Mic_sp.	Perennial	0	0	1	Herb	A	N	1	NA
"Myosotis discolor"	Myo_dis	Annual	0	0	1	Herb	Z	E	NA	NA
"Nassella trichotoma"	Nas_tri	Perennial	1	0	0	C3	X	E	NA	NA
"Oxalis perennans"	Oxa_per	Perennial	0	0	1	Herb	C	N	NA	NA
"Panicum effusum"	Pan_eff	Perennial	1	0	0	C4	C	N	NA	NA
"Petrorhagia nanteuilii"	Pet_nan	Annual	0	0	1	Herb	Z	E	NA	NA
"Pimelia curviflora"	Pim_cur	Perennial	0	0	0	Woody_shrub	A	N	1	NA
"Plantago lanceolata"	Pla_lan	Annual	0	0	1	Herb	Y	E	NA	NA
"Plantago varia"	Pla_var	Perennial	0	0	1	Herb	A	N	1	NA
"Poa sieberiana"	Poa_sie	Perennial	1	0	0	C3	A	N	1	NA
"Psilurus incurvus"	Psi_inc	Annual	1	0	0	NA	Z	E	NA	NA
"Rumex brownii"	Rum_bro	Perennial	0	0	1	Herb	C	N	NA	NA
"Rytidosperma caespitosum"	Ryt_cae	Perennial	1	0	0	C3	C	N	NA	NA
"Rytidosperma carphoides"	Ryt_car	Perennial	1	0	0	C3	C	N	NA	NA
"Rytidosperma laevis"	Ryt_lae	Perennial	1	0	0	C3	C	N	NA	NA
"Rytidosperma racemosum"	Ryt_rac	Perennial	1	0	0	C3	C	N	NA	NA
"Rytidosperma sp "	Ryt_sp.	Perennial	1	0	0	C3	C	N	NA	NA
"Rytidosperma sp 3. large"	Ryt_sp3	Perennial	1	0	0	C3	C	N	NA	NA
"Rytidosperma sp. 4 "	Ryt_sp4	Perennial	1	0	0	C3	C	N	NA	NA
"Rytidosperma sp2"	Ryt_sp2	Perennial	1	0	0	C3	C	N	NA	NA
