Species	Sp	Duration	Grass	Legume	Herb	func_grp	Significance	Status	Indicator	rare
"""Eryngium ovinum"""	Ery_ovi	Annual	0	0	1	Herb	A	N	1	NA
"""Euchiton japonicus """	Euc_jap	Perennial	0	0	1	Herb	C	N	0	NA
"""Euchiton sphaericus"""	Euc_sph	Annual	0	0	1	Herb	C	N	0	NA
"""Euphorbia dallachyana """	Eup_dal	Perennial	0	0	1	Herb	C	N	0	NA
"""Galium sp (exotic) """	Gal_sp.	Annual	0	0	1	Herb	Z	E	0	NA
"""Gallium divaricatum"""	Gal_div	Annual	0	0	1	Herb	Z	E	0	NA
"""Gamochaeta calviceps  """	Gam_cal	Annual	0	0	1	Herb	Z	E	0	NA
"""Gamochaeta purpurea """	Gam_pur	Perennial	0	0	1	Herb	Z	E	0	NA
"""Gamochaeta sp."""	Gam_sp.	Annual	0	0	1	Herb	Z	E	0	NA
"""Glycine clandestina"""	Gly_cla	Perennial	0	1	1	Leguminous_herb	A	N	1	NA
"""Glycine tabacina"""	Gly_tab	Perennial	0	1	1	Leguminous_herb	A	N	1	NA
"""Goodenia pinnatifida"""	Goo_pin	Perennial	0	0	1	Herb	A	N	1	NA
"""Haloragis heterophylla"""	Hal_het	Perennial	0	0	1	Herb	A	N	1	NA
"""Hordeum sp. (Critesion)"""	Hor_sp.	Annual	1	0	0	C3	Z	E	0	NA
"""Hypericum gramineum"""	Hyp_gra	Perennial	0	0	1	Herb	A	N	1	NA
"""Hypericum perforatum"""	Hyp_per	Perennial	0	0	1	Herb	Y	E	0	NA
"""Hypochaeris glabra"""	Hyp_gla	Annual	0	0	1	Herb	Z	E	0	NA
"""Hypochaeris radicata"""	Hyp_rad	Perennial	0	0	1	Herb	Y	E	0	NA
"""Juncus sp. (native)"""	Jun_sp.	Perennial	0	0	0	Sedge_Rush	C	N	0	NA
"""Juncus subsecundus"""	Jun_sub	Perennial	0	0	0	Sedge_Rush	C	N	0	NA
"""Leptorhynchos squamatus"""	Lep_squ	Perennial	0	0	1	Herb	A	N	1	NA
"""Linaria pelisserana"""	Lin_pel	Annual	0	0	1	Herb	Z	E	0	NA
"""Linaria sp. (arvensis?)"""	Lina_sp	Annual	0	0	1	Herb	Z	E	0	NA
"""Linum trigynum"""	Lin_tri	Perennial	NA	NA	NA	NA	Z	E	0	NA
"""Lomandra coriacea filiformis"""	Lom_cor	Perennial	0	0	1	Herb	A	N	1	NA
"""Lomandra bracteata"""	Lom_bra	Perennial	0	0	1	Herb	A	N	1	NA
